creation_time,order_id,product_ids
24/08/22 01:52,1,"[65, 28]"
24/08/22 06:37,2,"[35, 30, 42, 34]"
24/08/22 07:35,3,"[24, 70, 77]"
24/08/22 10:39,4,"[72, 40, 20]"
24/08/22 12:34,5,[48]
24/08/22 13:46,6,"[76, 52, 65, 75, 77]"
24/08/22 14:03,8,[41]
24/08/22 14:45,9,"[40, 27, 24, 39, 62, 15]"
24/08/22 15:09,10,"[3, 78]"
24/08/22 15:54,11,"[84, 14, 57]"
24/08/22 16:22,12,"[54, 83, 11, 28]"
24/08/22 17:16,14,"[65, 1, 26, 43, 6]"
24/08/22 17:17,15,[79]
24/08/22 17:31,16,"[71, 83, 46]"
24/08/22 17:32,17,"[73, 8, 70, 74]"
24/08/22 17:38,18,"[16, 25, 74]"
24/08/22 17:42,19,"[40, 31, 38, 28]"
24/08/22 17:48,20,"[33, 20]"
24/08/22 17:57,21,"[30, 65, 71, 35]"
24/08/22 18:05,22,[46]
24/08/22 18:13,23,"[31, 74]"
24/08/22 18:20,24,"[5, 74]"
24/08/22 18:38,25,"[77, 8, 20]"
24/08/22 18:42,26,"[19, 37, 72, 9]"
24/08/22 18:46,27,"[63, 12, 33]"
24/08/22 18:50,28,"[45, 60, 20, 24, 77]"
24/08/22 18:55,29,"[39, 79, 23]"
24/08/22 18:57,30,"[9, 32, 42, 8]"
24/08/22 18:58,31,"[77, 67, 25, 23]"
24/08/22 18:59,32,"[23, 35, 56]"
24/08/22 19:02,33,"[76, 53, 56]"
24/08/22 19:04,34,"[1, 50, 70, 47, 71, 52]"
24/08/22 19:05,35,"[17, 58, 27, 50]"
24/08/22 19:12,36,"[70, 18, 39, 58, 33, 50]"
24/08/22 19:15,37,"[32, 75, 49, 42]"
24/08/22 19:17,38,"[25, 84, 27, 81, 34]"
24/08/22 19:17,39,"[87, 67, 82]"
24/08/22 19:25,41,"[67, 30, 63]"
24/08/22 19:25,42,"[8, 2, 87, 42, 17, 20, 71]"
24/08/22 19:29,43,"[31, 49]"
24/08/22 19:35,44,"[56, 83, 5, 40, 5, 57]"
24/08/22 19:35,45,"[81, 29, 6]"
24/08/22 19:37,46,"[55, 77, 40]"
24/08/22 19:44,47,"[52, 86, 66]"
24/08/22 19:50,48,"[43, 84, 46]"
