,creation_time,order_id,product_ids,USD_RUB
0,2022-08-24,1,"[65, 28]",59.8963
1,2022-08-24,2,"[35, 30, 42, 34]",59.8963
2,2022-08-24,3,"[24, 70, 77]",59.8963
3,2022-08-24,4,"[72, 40, 20]",59.8963
4,2022-08-24,5,[48],59.8963
5,2022-08-24,6,"[76, 52, 65, 75, 77]",59.8963
6,2022-08-24,8,[41],59.8963
7,2022-08-24,9,"[40, 27, 24, 39, 62, 15]",59.8963
8,2022-08-24,10,"[3, 78]",59.8963
9,2022-08-24,11,"[84, 14, 57]",59.8963
10,2022-08-24,12,"[54, 83, 11, 28]",59.8963
11,2022-08-24,14,"[65, 1, 26, 43, 6]",59.8963
12,2022-08-24,15,[79],59.8963
13,2022-08-24,16,"[71, 83, 46]",59.8963
14,2022-08-24,17,"[73, 8, 70, 74]",59.8963
15,2022-08-24,18,"[16, 25, 74]",59.8963
16,2022-08-24,19,"[40, 31, 38, 28]",59.8963
17,2022-08-24,20,"[33, 20]",59.8963
18,2022-08-24,21,"[30, 65, 71, 35]",59.8963
19,2022-08-24,22,[46],59.8963
20,2022-08-24,23,"[31, 74]",59.8963
21,2022-08-24,24,"[5, 74]",59.8963
22,2022-08-24,25,"[77, 8, 20]",59.8963
23,2022-08-24,26,"[19, 37, 72, 9]",59.8963
24,2022-08-24,27,"[63, 12, 33]",59.8963
25,2022-08-24,28,"[45, 60, 20, 24, 77]",59.8963
26,2022-08-24,29,"[39, 79, 23]",59.8963
27,2022-08-24,30,"[9, 32, 42, 8]",59.8963
28,2022-08-24,31,"[77, 67, 25, 23]",59.8963
29,2022-08-24,32,"[23, 35, 56]",59.8963
30,2022-08-24,33,"[76, 53, 56]",59.8963
31,2022-08-24,34,"[1, 50, 70, 47, 71, 52]",59.8963
32,2022-08-24,35,"[17, 58, 27, 50]",59.8963
33,2022-08-24,36,"[70, 18, 39, 58, 33, 50]",59.8963
34,2022-08-24,37,"[32, 75, 49, 42]",59.8963
35,2022-08-24,38,"[25, 84, 27, 81, 34]",59.8963
36,2022-08-24,39,"[87, 67, 82]",59.8963
37,2022-08-24,41,"[67, 30, 63]",59.8963
38,2022-08-24,42,"[8, 2, 87, 42, 17, 20, 71]",59.8963
39,2022-08-24,43,"[31, 49]",59.8963
40,2022-08-24,44,"[56, 83, 5, 40, 5, 57]",59.8963
41,2022-08-24,45,"[81, 29, 6]",59.8963
42,2022-08-24,46,"[55, 77, 40]",59.8963
43,2022-08-24,47,"[52, 86, 66]",59.8963
44,2022-08-24,48,"[43, 84, 46]",59.8963
45,2022-08-24,49,"[22, 47, 54]",59.8963
46,2022-08-24,50,[70],59.8963
47,2022-08-24,51,"[6, 32]",59.8963
48,2022-08-24,53,"[70, 42, 62, 69]",59.8963
49,2022-08-24,54,[76],59.8963
50,2022-08-24,55,"[40, 47, 52]",59.8963
51,2022-08-24,56,"[24, 30]",59.8963
52,2022-08-24,57,[38],59.8963
53,2022-08-24,58,"[35, 25, 85]",59.8963
54,2022-08-24,59,"[20, 67, 71]",59.8963
55,2022-08-24,60,[10],59.8963
56,2022-08-24,61,"[74, 15, 22, 63]",59.8963
57,2022-08-24,62,"[50, 44, 81, 28]",59.8963
58,2022-08-24,63,"[53, 18]",59.8963
59,2022-08-24,65,"[23, 7, 1, 9]",59.8963
60,2022-08-24,66,"[8, 46, 60]",59.8963
61,2022-08-24,67,"[74, 9, 4]",59.8963
62,2022-08-24,68,"[59, 78, 78]",59.8963
